subject,SupraTentorialVol,skew
aotus,-1.25960428250652,-0.253256505589571
cebus,-0.199718461206235,0.856038602929096
colobus,-0.124823066479493,0.913275730405787
galago,-2.19248964169852,1.25296935848864
lagothrix,-0.105185130418789,1.42570443429372
lophocebus,0.048380058634297,-1.30575760952727
pithecia,-0.78861940982472,-0.76846033606819
macaque,-0.107646782034166,-0.525018152034439
chimpanzee,0.780013469148313,0.365041686268617
human,1.52618896021103,0.0204110382173781
bonobo,0.732435590723239,-1.6720472276414
gorilla,0.843014363037207,0.625972121808629
orangutan,0.848054332414355,-0.934873141550993
