subject,SupraTentorialVol,avg,skew
aotus,-1.25960428250652,-1.19344592065304,-1.70587135204433
cebus,-0.199718461206235,0.834880074122547,0.31970487507377
colobus,-0.124823066479493,-0.627985172793916,0.251624079273797
galago,-2.19248964169852,-2.11754709481,-1.25914557781905
lagothrix,-0.105185130418789,0.4457720455912,2.07231676244312
lophocebus,0.048380058634297,-0.35939580287308,-0.200658436928962
pithecia,-0.78861940982472,-0.940905362404882,-0.722749230592963
macaque,-0.107646782034166,0.778788045869096,0.0666437729090848
chimpanzee,0.780013469148313,1.00119025286548,0.425845795263984
human,1.52618896021103,-0.124569342687624,-0.301255889180499
bonobo,0.732435590723239,1.17456431993769,1.01210967230622
gorilla,0.843014363037207,0.293985920561334,-0.747441350471895
orangutan,0.848054332414355,0.83466803727517,0.788876879767718
