subject,SupraTentorialVol,skew
aotus,-1.25960428250652,-0.497091048980921
cebus,-0.199718461206235,0.164384422017091
colobus,-0.124823066479493,0.343467577507249
galago,-2.19248964169852,-0.667059371410759
lagothrix,-0.105185130418789,1.03181421716886
lophocebus,0.048380058634297,-0.388272107965074
pithecia,-0.78861940982472,-1.18692570190606
macaque,-0.107646782034166,-0.730663928607974
chimpanzee,0.780013469148313,1.01572614777029
human,1.52618896021103,0.235893258290552
bonobo,0.732435590723239,-1.56681659410136
gorilla,0.843014363037207,2.1080102192149
orangutan,0.848054332414355,0.137532911003206
