subject,SupraTentorialVol,cort_surf,conn_asymmetry
aotus,-1.25960428250652,-1.25627096922432,-1.37201110153536
cebus,-0.199718461206235,-0.179545554900345,-0.555716424672944
colobus,-0.124823066479493,-0.0915542471163502,-0.67106934384125
galago,-2.19248964169852,-2.19867546597477,-0.0919414673060444
lagothrix,-0.105185130418789,-0.0474321685225504,-0.938899028732892
lophocebus,0.048380058634297,-0.0304902142612944,-0.844373032164771
pithecia,-0.78861940982472,-0.785075178272911,-0.820469743456475
macaque,-0.107646782034166,-0.16536065147166,1.62148943885169
chimpanzee,0.780013469148313,0.760467869606628,0.382309422437538
human,1.52618896021103,1.49665594331811,0.617696999505702
bonobo,0.732435590723239,0.787556860534411,0.139000132372702
gorilla,0.843014363037207,0.857111203372961,0.677283356297981
orangutan,0.848054332414355,0.852612572912075,1.85670079224412
