subject,SupraTentorialVol,cort_surf,Cnorm,Lnorm
aotus,-1.25960428250652,-1.25627096922432,-0.972152038317336,-1.40546422721438
cebus,-0.199718461206235,-0.179545554900345,0.49056353641724,0.624710686507282
colobus,-0.124823066479493,-0.0915542471163502,0.0353279006983536,-0.61721524871114
galago,-2.19248964169852,-2.19867546597477,-1.2797235999523,-1.57829299361428
lagothrix,-0.105185130418789,-0.0474321685225504,0.216165599311268,0.476428945217309
lophocebus,0.048380058634297,-0.0304902142612944,-0.898435627519077,-0.180517180829075
pithecia,-0.78861940982472,-0.785075178272911,-1.15200054485506,-0.802461637606424
macaque,-0.107646782034166,-0.16536065147166,-0.534934318491004,0.571635735786007
chimpanzee,0.780013469148313,0.760467869606628,0.785631177851598,0.722393416651565
human,1.52618896021103,1.49665594331811,-0.179417701678861,-0.228555711253061
bonobo,0.732435590723239,0.787556860534411,1.84221283645887,2.160257269433
gorilla,0.843014363037207,0.857111203372961,1.63241913133929,0.487924391883646
orangutan,0.848054332414355,0.852612572912075,0.0143436487370405,-0.23084344625046
