subject,SupraTentorialVol,cort_surf,Cnorm,Lnorm
aotus,-1.25960428250652,-1.25627096922432,-0.912048106098285,-1.19475716890025
cebus,-0.199718461206235,-0.179545554900345,0.75256455789604,0.816829709389678
colobus,-0.124823066479493,-0.0915542471163502,-0.280496323828426,-0.63887454559736
galago,-2.19248964169852,-2.19867546597477,-1.96895029486286,-2.10020339958935
lagothrix,-0.105185130418789,-0.0474321685225504,1.06018770108077,0.416742099534545
lophocebus,0.048380058634297,-0.0304902142612944,-0.463387918624219,-0.368084448641066
pithecia,-0.78861940982472,-0.785075178272911,-1.14930979717864,-0.944908278598437
macaque,-0.107646782034166,-0.16536065147166,-0.665469018019256,0.947952992173409
chimpanzee,0.780013469148313,0.760467869606628,0.842790892833845,0.976143731290568
human,1.52618896021103,1.49665594331811,-0.066363905291177,-0.123694622038406
bonobo,0.732435590723239,0.787556860534411,1.20833791838928,1.14162410314306
gorilla,0.843014363037207,0.857111203372961,0.923010647670151,0.270592602767142
orangutan,0.848054332414355,0.852612572912075,0.719133646032759,0.800637225066446
