subject,SupraTentorialVol,cort_surf,conn_asymmetry
aotus,-1.25960428250652,-1.25627096922432,-2.03459522189555
cebus,-0.199718461206235,-0.179545554900345,-0.0940083776618982
colobus,-0.124823066479493,-0.0915542471163502,-0.312598089620981
galago,-2.19248964169852,-2.19867546597477,-0.820098533010972
lagothrix,-0.105185130418789,-0.0474321685225504,0.368366945995872
lophocebus,0.048380058634297,-0.0304902142612944,-0.533424360544762
pithecia,-0.78861940982472,-0.785075178272911,-1.02818287068472
macaque,-0.107646782034166,-0.16536065147166,0.332179535746219
chimpanzee,0.780013469148313,0.760467869606628,0.622194099003358
human,1.52618896021103,1.49665594331811,0.331043170865573
bonobo,0.732435590723239,0.787556860534411,0.895793993333895
gorilla,0.843014363037207,0.857111203372961,0.239338106166584
orangutan,0.848054332414355,0.852612572912075,2.03399160230738
