subject,SupraTentorialVol,cort_surf,densityLH,densityRH
aotus,-1.25960428250652,-1.25627096922432,2.17304576940334,2.05353837046888
cebus,-0.199718461206235,-0.179545554900345,-1.06423916474744,-0.891412700834365
colobus,-0.124823066479493,-0.0915542471163502,0.24445048948373,0.353066622845395
galago,-2.19248964169852,-2.19867546597477,1.59249923106019,1.28405115506384
lagothrix,-0.105185130418789,-0.0474321685225504,-0.591930116603857,-0.549418382876568
lophocebus,0.048380058634297,-0.0304902142612944,-0.0999415247876293,0.201069148197486
pithecia,-0.78861940982472,-0.785075178272911,0.972593605371748,1.22705210207088
macaque,-0.107646782034166,-0.16536065147166,-0.422383278808726,-0.466842831745733
chimpanzee,0.780013469148313,0.760467869606628,-0.978675931388092,-0.961628925535844
human,1.52618896021103,1.49665594331811,-0.27594348140717,-0.192726195908007
bonobo,0.732435590723239,0.787556860534411,-0.51321194191326,-1.10990907064073
gorilla,0.843014363037207,0.857111203372961,-0.85760395618462,-0.976911280323814
orangutan,0.848054332414355,0.852612572912075,-0.178659699478225,0.0300719892185871
